date,realtime_end,realtime_start,value
1992-01-01,2018-12-05,2018-12-05,802948
1992-02-01,2018-12-05,2018-12-05,809329
1992-03-01,2018-12-05,2018-12-05,813301
1992-04-01,2018-12-05,2018-12-05,819247
1992-05-01,2018-12-05,2018-12-05,815688
1992-06-01,2018-12-05,2018-12-05,812610
1992-07-01,2018-12-05,2018-12-05,817899
1992-08-01,2018-12-05,2018-12-05,820061
1992-09-01,2018-12-05,2018-12-05,823912
1992-10-01,2018-12-05,2018-12-05,844117
1992-11-01,2018-12-05,2018-12-05,850772
1992-12-01,2018-12-05,2018-12-05,823633
1993-01-01,2018-12-05,2018-12-05,830472
1993-02-01,2018-12-05,2018-12-05,837696
1993-03-01,2018-12-05,2018-12-05,845466
1993-04-01,2018-12-05,2018-12-05,851007
1993-05-01,2018-12-05,2018-12-05,848150
1993-06-01,2018-12-05,2018-12-05,840682
1993-07-01,2018-12-05,2018-12-05,841820
1993-08-01,2018-12-05,2018-12-05,843790
1993-09-01,2018-12-05,2018-12-05,851014
1993-10-01,2018-12-05,2018-12-05,872794
1993-11-01,2018-12-05,2018-12-05,881832
1993-12-01,2018-12-05,2018-12-05,850662
1994-01-01,2018-12-05,2018-12-05,857823
1994-02-01,2018-12-05,2018-12-05,867791
1994-03-01,2018-12-05,2018-12-05,869132
1994-04-01,2018-12-05,2018-12-05,876216
1994-05-01,2018-12-05,2018-12-05,883463
1994-06-01,2018-12-05,2018-12-05,879098
1994-07-01,2018-12-05,2018-12-05,886582
1994-08-01,2018-12-05,2018-12-05,894296
1994-09-01,2018-12-05,2018-12-05,903536
1994-10-01,2018-12-05,2018-12-05,932673
1994-11-01,2018-12-05,2018-12-05,944083
1994-12-01,2018-12-05,2018-12-05,913178
1995-01-01,2018-12-05,2018-12-05,930073
1995-02-01,2018-12-05,2018-12-05,943250
1995-03-01,2018-12-05,2018-12-05,951783
1995-04-01,2018-12-05,2018-12-05,964551
1995-05-01,2018-12-05,2018-12-05,966416
1995-06-01,2018-12-05,2018-12-05,959054
1995-07-01,2018-12-05,2018-12-05,963639
1995-08-01,2018-12-05,2018-12-05,966512
1995-09-01,2018-12-05,2018-12-05,974748
1995-10-01,2018-12-05,2018-12-05,1005190
1995-11-01,2018-12-05,2018-12-05,1013264
1995-12-01,2018-12-05,2018-12-05,971548
1996-01-01,2018-12-05,2018-12-05,985288
1996-02-01,2018-12-05,2018-12-05,992520
