date,realtime_end,realtime_start,value
1992-01-01,2018-12-05,2018-12-05,478951
1992-02-01,2018-12-05,2018-12-05,496844
1992-03-01,2018-12-05,2018-12-05,542833
1992-04-01,2018-12-05,2018-12-05,533768
1992-05-01,2018-12-05,2018-12-05,537400
1992-06-01,2018-12-05,2018-12-05,565572
1992-07-01,2018-12-05,2018-12-05,526186
1992-08-01,2018-12-05,2018-12-05,539854
1992-09-01,2018-12-05,2018-12-05,560404
1992-10-01,2018-12-05,2018-12-05,566566
1992-11-01,2018-12-05,2018-12-05,545761
1992-12-01,2018-12-05,2018-12-05,588252
1993-01-01,2018-12-05,2018-12-05,501102
1993-02-01,2018-12-05,2018-12-05,519670
1993-03-01,2018-12-05,2018-12-05,577660
1993-04-01,2018-12-05,2018-12-05,562473
1993-05-01,2018-12-05,2018-12-05,568082
1993-06-01,2018-12-05,2018-12-05,592054
1993-07-01,2018-12-05,2018-12-05,541465
1993-08-01,2018-12-05,2018-12-05,571966
1993-09-01,2018-12-05,2018-12-05,587293
1993-10-01,2018-12-05,2018-12-05,587643
1993-11-01,2018-12-05,2018-12-05,582479
1993-12-01,2018-12-05,2018-12-05,614453
1994-01-01,2018-12-05,2018-12-05,523199
1994-02-01,2018-12-05,2018-12-05,548442
1994-03-01,2018-12-05,2018-12-05,622218
1994-04-01,2018-12-05,2018-12-05,589743
1994-05-01,2018-12-05,2018-12-05,606190
1994-06-01,2018-12-05,2018-12-05,634299
1994-07-01,2018-12-05,2018-12-05,570383
1994-08-01,2018-12-05,2018-12-05,637290
1994-09-01,2018-12-05,2018-12-05,638551
1994-10-01,2018-12-05,2018-12-05,637472
1994-11-01,2018-12-05,2018-12-05,636597
1994-12-01,2018-12-05,2018-12-05,673862
1995-01-01,2018-12-05,2018-12-05,583576
1995-02-01,2018-12-05,2018-12-05,602657
1995-03-01,2018-12-05,2018-12-05,671889
1995-04-01,2018-12-05,2018-12-05,629789
1995-05-01,2018-12-05,2018-12-05,665344
1995-06-01,2018-12-05,2018-12-05,688374
1995-07-01,2018-12-05,2018-12-05,610456
1995-08-01,2018-12-05,2018-12-05,678051
1995-09-01,2018-12-05,2018-12-05,677370
1995-10-01,2018-12-05,2018-12-05,678823
1995-11-01,2018-12-05,2018-12-05,671241
1995-12-01,2018-12-05,2018-12-05,698703
1996-01-01,2018-12-05,2018-12-05,608890
1996-02-01,2018-12-05,2018-12-05,640408
1996-03-01,2018-12-05,2018-12-05,687749
1996-04-01,2018-12-05,2018-12-05,676459
1996-05-01,2018-12-05,2018-12-05,705129
1996-06-01,2018-12-05,2018-12-05,701473
1996-07-01,2018-12-05,2018-12-05,661061
1996-08-01,2018-12-05,2018-12-05,704489
1996-09-01,2018-12-05,2018-12-05,703818
1996-10-01,2018-12-05,2018-12-05,724199
1996-11-01,2018-12-05,2018-12-05,700035
1996-12-01,2018-12-05,2018-12-05,729370
1997-01-01,2018-12-05,2018-12-05,648926
1997-02-01,2018-12-05,2018-12-05,670542
1997-03-01,2018-12-05,2018-12-05,733003
1997-04-01,2018-12-05,2018-12-05,714436
1997-05-01,2018-12-05,2018-12-05,728181
1997-06-01,2018-12-05,2018-12-05,746888
1997-07-01,2018-12-05,2018-12-05,699834
1997-08-01,2018-12-05,2018-12-05,728842
1997-09-01,2018-12-05,2018-12-05,755266
1997-10-01,2018-12-05,2018-12-05,760523
1997-11-01,2018-12-05,2018-12-05,718354
1997-12-01,2018-12-05,2018-12-05,776516
1998-01-01,2018-12-05,2018-12-05,665199
1998-02-01,2018-12-05,2018-12-05,691649
1998-03-01,2018-12-05,2018-12-05,766470
1998-04-01,2018-12-05,2018-12-05,739466
1998-05-01,2018-12-05,2018-12-05,743025
1998-06-01,2018-12-05,2018-12-05,776742
1998-07-01,2018-12-05,2018-12-05,710372
1998-08-01,2018-12-05,2018-12-05,738979
1998-09-01,2018-12-05,2018-12-05,765522
1998-10-01,2018-12-05,2018-12-05,769652
1998-11-01,2018-12-05,2018-12-05,740557
1998-12-01,2018-12-05,2018-12-05,801062
1999-01-01,2018-12-05,2018-12-05,674466
1999-02-01,2018-12-05,2018-12-05,713828
1999-03-01,2018-12-05,2018-12-05,808436
1999-04-01,2018-12-05,2018-12-05,767844
1999-05-01,2018-12-05,2018-12-05,782025
1999-06-01,2018-12-05,2018-12-05,823830
1999-07-01,2018-12-05,2018-12-05,752260
1999-08-01,2018-12-05,2018-12-05,807053
1999-09-01,2018-12-05,2018-12-05,819724
1999-10-01,2018-12-05,2018-12-05,808320
1999-11-01,2018-12-05,2018-12-05,808880
1999-12-01,2018-12-05,2018-12-05,867470
2000-01-01,2018-12-05,2018-12-05,736418
2000-02-01,2018-12-05,2018-12-05,788463
2000-03-01,2018-12-05,2018-12-05,877235
2000-04-01,2018-12-05,2018-12-05,805781
2000-05-01,2018-12-05,2018-12-05,857443
