date,realtime_end,realtime_start,value
1992-01-01,2018-12-05,2018-12-05,517626
1992-02-01,2018-12-05,2018-12-05,520289
1992-03-01,2018-12-05,2018-12-05,530715
1992-04-01,2018-12-05,2018-12-05,533290
1992-05-01,2018-12-05,2018-12-05,536742
1992-06-01,2018-12-05,2018-12-05,541482
1992-07-01,2018-12-05,2018-12-05,545177
1992-08-01,2018-12-05,2018-12-05,541368
1992-09-01,2018-12-05,2018-12-05,546733
1992-10-01,2018-12-05,2018-12-05,545987
1992-11-01,2018-12-05,2018-12-05,550285
1992-12-01,2018-12-05,2018-12-05,552282
1993-01-01,2018-12-05,2018-12-05,558864
1993-02-01,2018-12-05,2018-12-05,558311
1993-03-01,2018-12-05,2018-12-05,554939
1993-04-01,2018-12-05,2018-12-05,560899
1993-05-01,2018-12-05,2018-12-05,568488
1993-06-01,2018-12-05,2018-12-05,566266
1993-07-01,2018-12-05,2018-12-05,566307
1993-08-01,2018-12-05,2018-12-05,566668
1993-09-01,2018-12-05,2018-12-05,571317
1993-10-01,2018-12-05,2018-12-05,577000
1993-11-01,2018-12-05,2018-12-05,577705
1993-12-01,2018-12-05,2018-12-05,577177
1994-01-01,2018-12-05,2018-12-05,584335
1994-02-01,2018-12-05,2018-12-05,588455
1994-03-01,2018-12-05,2018-12-05,595174
1994-04-01,2018-12-05,2018-12-05,596719
1994-05-01,2018-12-05,2018-12-05,600167
1994-06-01,2018-12-05,2018-12-05,605009
1994-07-01,2018-12-05,2018-12-05,610274
1994-08-01,2018-12-05,2018-12-05,619487
1994-09-01,2018-12-05,2018-12-05,619872
1994-10-01,2018-12-05,2018-12-05,628003
1994-11-01,2018-12-05,2018-12-05,631779
1994-12-01,2018-12-05,2018-12-05,642382
1995-01-01,2018-12-05,2018-12-05,644664
1995-02-01,2018-12-05,2018-12-05,645312
1995-03-01,2018-12-05,2018-12-05,641172
1995-04-01,2018-12-05,2018-12-05,649536
1995-05-01,2018-12-05,2018-12-05,647742
1995-06-01,2018-12-05,2018-12-05,654819
1995-07-01,2018-12-05,2018-12-05,653374
1995-08-01,2018-12-05,2018-12-05,657867
1995-09-01,2018-12-05,2018-12-05,664775
1995-10-01,2018-12-05,2018-12-05,662186
1995-11-01,2018-12-05,2018-12-05,665470
1995-12-01,2018-12-05,2018-12-05,678351
1996-01-01,2018-12-05,2018-12-05,660384
1996-02-01,2018-12-05,2018-12-05,659667
1996-03-01,2018-12-05,2018-12-05,676171
1996-04-01,2018-12-05,2018-12-05,677571
1996-05-01,2018-12-05,2018-12-05,684012
1996-06-01,2018-12-05,2018-12-05,688433
1996-07-01,2018-12-05,2018-12-05,687240
1996-08-01,2018-12-05,2018-12-05,689698
1996-09-01,2018-12-05,2018-12-05,695693
1996-10-01,2018-12-05,2018-12-05,695132
1996-11-01,2018-12-05,2018-12-05,703118
1996-12-01,2018-12-05,2018-12-05,700632
1997-01-01,2018-12-05,2018-12-05,703995
1997-02-01,2018-12-05,2018-12-05,717856
1997-03-01,2018-12-05,2018-12-05,718114
1997-04-01,2018-12-05,2018-12-05,718072
1997-05-01,2018-12-05,2018-12-05,714459
1997-06-01,2018-12-05,2018-12-05,722329
1997-07-01,2018-12-05,2018-12-05,727789
1997-08-01,2018-12-05,2018-12-05,727996
1997-09-01,2018-12-05,2018-12-05,731885
1997-10-01,2018-12-05,2018-12-05,730220
1997-11-01,2018-12-05,2018-12-05,737474
1997-12-01,2018-12-05,2018-12-05,733753
1998-01-01,2018-12-05,2018-12-05,731998
1998-02-01,2018-12-05,2018-12-05,740145
1998-03-01,2018-12-05,2018-12-05,741535
1998-04-01,2018-12-05,2018-12-05,740194
1998-05-01,2018-12-05,2018-12-05,742797
1998-06-01,2018-12-05,2018-12-05,736319
1998-07-01,2018-12-05,2018-12-05,733450
1998-08-01,2018-12-05,2018-12-05,738109
1998-09-01,2018-12-05,2018-12-05,743466
1998-10-01,2018-12-05,2018-12-05,750044
1998-11-01,2018-12-05,2018-12-05,752546
1998-12-01,2018-12-05,2018-12-05,755797
1999-01-01,2018-12-05,2018-12-05,757956
1999-02-01,2018-12-05,2018-12-05,765555
1999-03-01,2018-12-05,2018-12-05,765106
1999-04-01,2018-12-05,2018-12-05,769819
1999-05-01,2018-12-05,2018-12-05,780742
1999-06-01,2018-12-05,2018-12-05,782058
1999-07-01,2018-12-05,2018-12-05,785830
1999-08-01,2018-12-05,2018-12-05,795418
1999-09-01,2018-12-05,2018-12-05,796663
1999-10-01,2018-12-05,2018-12-05,805363
1999-11-01,2018-12-05,2018-12-05,809613
1999-12-01,2018-12-05,2018-12-05,817543
2000-01-01,2018-12-05,2018-12-05,825947
2000-02-01,2018-12-05,2018-12-05,816007
2000-03-01,2018-12-05,2018-12-05,831117
2000-04-01,2018-12-05,2018-12-05,834242
2000-05-01,2018-12-05,2018-12-05,829024
2000-06-01,2018-12-05,2018-12-05,839338
2000-07-01,2018-12-05,2018-12-05,833896
2000-08-01,2018-12-05,2018-12-05,829271
2000-09-01,2018-12-05,2018-12-05,845436
2000-10-01,2018-12-05,2018-12-05,838446
2000-11-01,2018-12-05,2018-12-05,834423
2000-12-01,2018-12-05,2018-12-05,841752
2001-01-01,2018-12-05,2018-12-05,834365
2001-02-01,2018-12-05,2018-12-05,836825
2001-03-01,2018-12-05,2018-12-05,823781
2001-04-01,2018-12-05,2018-12-05,818875
2001-05-01,2018-12-05,2018-12-05,827229
2001-06-01,2018-12-05,2018-12-05,815240
2001-07-01,2018-12-05,2018-12-05,812016
